T0_CT_A01	T0_CT_A03	T0_CT_A05	T0_CT_A06	T0_CT_A07	T0_CT_A08	T0_CT_A10	T0_CT_A11	T0_CT_B01	T0_CT_B03	T0_CT_B05	T0_CT_B07	T0_CT_B08	T0_CT_B09	T0_CT_C02	T0_CT_C03	T0_CT_C05	T0_CT_C06	T0_CT_C07	T0_CT_C08	T0_CT_C09	T0_CT_C11	T0_CT_C12	T0_CT_D01	T0_CT_D02	T0_CT_D03	T0_CT_D05	T0_CT_D06	T0_CT_D07	T0_CT_D08	T0_CT_D09	T0_CT_D11	T0_CT_D12	T0_CT_E01	T0_CT_E03	T0_CT_E04	T0_CT_E05	T0_CT_E06	T0_CT_E07	T0_CT_E08	T0_CT_E09	T0_CT_E10	T0_CT_E11	T0_CT_E12	T0_CT_F01	T0_CT_F02	T0_CT_F03	T0_CT_F04	T0_CT_F05	T0_CT_F06	T0_CT_F07	T0_CT_F09	T0_CT_F11	T0_CT_F12	T0_CT_G01	T0_CT_G02	T0_CT_G03	T0_CT_G04	T0_CT_G07	T0_CT_G08	T0_CT_G09	T0_CT_G11	T0_CT_H01	T0_CT_H02	T0_CT_H04	T0_CT_H05	T0_CT_H08	T0_CT_H09	T0_CT_H12	T24_CT_A01	T24_CT_A03	T24_CT_A04	T24_CT_A05	T24_CT_A07	T24_CT_A08	T24_CT_A09	T24_CT_A10	T24_CT_B01	T24_CT_B02	T24_CT_B03	T24_CT_B05	T24_CT_B06	T24_CT_B07	T24_CT_B08	T24_CT_B09	T24_CT_B11	T24_CT_C01	T24_CT_C02	T24_CT_C03	T24_CT_C05	T24_CT_C07	T24_CT_C08	T24_CT_C09	T24_CT_C10	T24_CT_C11	T24_CT_C12	T24_CT_D01	T24_CT_D02	T24_CT_D03	T24_CT_D04	T24_CT_D05	T24_CT_D06	T24_CT_D07	T24_CT_D08	T24_CT_D09	T24_CT_D10	T24_CT_D11	T24_CT_E01	T24_CT_E02	T24_CT_E04	T24_CT_E05	T24_CT_E07	T24_CT_E09	T24_CT_E11	T24_CT_E12	T24_CT_F01	T24_CT_F02	T24_CT_F03	T24_CT_F04	T24_CT_F05	T24_CT_F07	T24_CT_F08	T24_CT_F09	T24_CT_F10	T24_CT_F11	T24_CT_F12	T24_CT_G01	T24_CT_G02	T24_CT_G03	T24_CT_G04	T24_CT_G05	T24_CT_G06	T24_CT_G08	T24_CT_G10	T24_CT_G11	T24_CT_G12	T24_CT_H01	T24_CT_H02	T24_CT_H03	T24_CT_H05	T24_CT_H07	T24_CT_H09	T24_CT_H12	T48_CT_A01	T48_CT_A02	T48_CT_A03	T48_CT_A04	T48_CT_A05	T48_CT_A06	T48_CT_A07	T48_CT_A08	T48_CT_A09	T48_CT_A10	T48_CT_A11	T48_CT_A12	T48_CT_B01	T48_CT_B02	T48_CT_B03	T48_CT_B04	T48_CT_B06	T48_CT_B08	T48_CT_B10	T48_CT_B11	T48_CT_B12	T48_CT_C01	T48_CT_C02	T48_CT_C03	T48_CT_C04	T48_CT_C05	T48_CT_C06	T48_CT_C07	T48_CT_C09	T48_CT_C10	T48_CT_C11	T48_CT_D01	T48_CT_D02	T48_CT_D03	T48_CT_D04	T48_CT_D06	T48_CT_D07	T48_CT_D08	T48_CT_D09	T48_CT_D10	T48_CT_D11	T48_CT_D12	T48_CT_E01	T48_CT_E02	T48_CT_E03	T48_CT_E04	T48_CT_E05	T48_CT_E06	T48_CT_E07	T48_CT_E08	T48_CT_E10	T48_CT_E11	T48_CT_E12	T48_CT_F01	T48_CT_F02	T48_CT_F03	T48_CT_F05	T48_CT_F07	T48_CT_F09	T48_CT_F10	T48_CT_F11	T48_CT_G01	T48_CT_G02	T48_CT_G03	T48_CT_G07	T48_CT_G08	T48_CT_G09	T48_CT_G10	T48_CT_G11	T48_CT_G12	T48_CT_H01	T48_CT_H02	T48_CT_H04	T48_CT_H05	T48_CT_H06	T48_CT_H07	T48_CT_H08	T48_CT_H11	T48_CT_H12	T72_CT_A01	T72_CT_A05	T72_CT_A08	T72_CT_A09	T72_CT_A11	T72_CT_B01	T72_CT_B02	T72_CT_B03	T72_CT_B04	T72_CT_B05	T72_CT_B06	T72_CT_B08	T72_CT_B09	T72_CT_B11	T72_CT_B12	T72_CT_C04	T72_CT_C06	T72_CT_C07	T72_CT_C09	T72_CT_C11	T72_CT_D01	T72_CT_D03	T72_CT_D04	T72_CT_D05	T72_CT_D07	T72_CT_D10	T72_CT_D11	T72_CT_E04	T72_CT_E05	T72_CT_E07	T72_CT_F01	T72_CT_F05	T72_CT_F07	T72_CT_F10	T72_CT_F11	T72_CT_G03	T72_CT_G04	T72_CT_G06	T72_CT_G08	T72_CT_G10	T72_CT_G11	T72_CT_H01	T72_CT_H03	T72_CT_H05	T72_CT_H08	T72_CT_H09	T72_CT_H10	T72_CT_H11	T72_CT_H12
C1orf112	0.740922	57.5785	3.93587	0	0	1.75868	0	0	0.762205	13.3956	0	0.958528	18.8722	1.97184	2.43752	0.457492	0.333239	0	1.35975	34.4584	7.47227	0	0.401242	0.688703	0.320464	5.46447	0	0	1.78547	4.60061	0	0	3.65183	1.68928	0.47215	2.48392	0.102061	2.04159	0.30113	35.5628	0.508208	0	26.6947	0.0713409	0.4547	1.79166	1.4195	0	0	0.690083	0	0.304993	0	4.80273	0.103353	1.13781	0.479517	9.61225	2.36234	4.59313	0	2.08349	0.34519	0	0.863054	0	0.658828	0.257022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.07	0	0	0	21.327	0	0	10.644	0.256726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05744	0	0	0	0	0	0	0	0	0	0	2.57353	0	0	0	0	0	0	0	0	0	0	0	0	0.857702	0	0	0	14.0039	0	0	0.169862	0	0	0	0	0	0	0	0	12.7174	0	0	0	0	0	0	0	0.695371	0	0	0	1.90112	20.1533	0	0	0	0	0.421099	1.12572	0	0.292833	0.105687	0	0	0	0	0	0	0	0.756187	0	0	0	0	0.142702	0	9.4514	0	0	0	0.22198	0	0.336046	76.6813	0	0	0	24.1519	0	0	219.07	0	0	0	0	0	0	73.9683	12.3403	0	0	0	0	0	0	0	0	0	0	0	0	2.75155	0.841889	0	0	0	0	0	15.3118	0	0	3.00948	0	0	0	0	5.46827	0	0.140912	7.93828	0	0	0	0	0	0	0	0	0	1.15534	0	0	0.143824	0	2.83575	0	0	0	0	0.135884	0	0	0	9.3919	8.88109	0	0	0	0
CYP51A1	23.743	75.9004	7.70763	48.2161	18.1033	6.75033	46.4447	0.0316664	35.4536	19.711	84.183	61.2847	17.6541	22.6995	25.5066	34.1112	66.1007	10.0722	30.9757	65.7377	0.920144	6.9408	27.7116	55.2403	1.56052	42.7491	3.8044	16.156	5.91916	31.1416	35.7197	141.588	8.60066	43.8272	13.4292	39.5724	74.575	0.929167	1.74881	10.1928	44.8641	0.383491	10.8235	35.4895	16.5887	4.96732	53.3467	13.2102	29.6715	29.6491	13.6344	27.262	13.1732	2.02351	23.2069	47.4246	12.9954	14.2529	38.2135	46.8704	0.621494	83.2056	29.314	17.2581	2.80321	3.35066	91.7387	43.772	10.5845	46.2622	47.4753	196.213	22.543	64.0945	24.029	140.83	173.716	67.6831	372.007	84.5932	28.5465	155.201	58.7305	42.8816	183.768	169.504	59.3548	185.089	0.0921612	61.3061	72.4986	78.6717	457.711	206.791	3.37577	146.761	24.0378	108.755	174.521	32.6189	90.112	196.442	103.271	57.2608	298.48	206.257	48.7281	146.088	186.835	26.5626	51.349	116.196	24.9284	63.6577	74.3082	16.7339	164.043	59.1551	214.127	214.437	62.6227	175.069	155.981	104.787	83.57	17.6858	82.6911	0.219217	211.681	216.4	17.2961	107.592	20.6776	118.377	211.781	77.1261	132.947	58.3371	147.778	135.457	57.7382	138.244	115.175	34.4123	24.7968	18.8744	61.6265	120.854	91.5305	74.1953	137.701	55.1832	15.6921	89.9082	119.848	84.6826	14.3039	84.6234	68.9684	189.15	39.7886	25.5516	268.856	51.1491	169.976	32.385	61.9742	79.4927	81.2759	59.1477	50.9615	106.895	32.3425	209.527	13.6876	50.0732	29.7557	130.543	139.466	48.0424	24.9368	0	0.168043	54.37	26.9987	95.7237	18.2284	46.1044	46.8849	22.4512	0.257002	74.6365	42.2729	103.12	24.8705	44.9445	14.6083	3.33852	51.1074	266.235	27.8791	77.6142	160.074	40.8933	201.416	185.463	84.7824	104.646	169.165	11.3581	98.221	30.7537	2.60868	84.3414	264.494	221.232	91.8786	15.335	106.042	126.492	43.8644	38.3778	163.156	123.314	10.7127	155.419	94.6792	24.1962	37.4233	31.7688	100.4	99.613	2.02354	101.025	0.26936	37.6925	80.1816	40.9403	24.1238	175.035	146.707	46.471	47.9553	99.803	95.6419	28.6087	12.5601	12.7702	24.7644	85.7291	56.2761	40.6254	29.9817	3.35234	63.5612	117.138	67.23	85.9932	39.7858	56.8753	79.9456	129.16	12.7048	63.5417	36.869	40.113	151.493	49.0254	109.732	48.5243	24.2662
SLC7A2	0.65881	0.642023	0.796284	0.760456	11.5342	0	0	0	7.73694	1.50138	0	7.58709	3.45027	0.249883	0.487837	0	0.98293	33.1407	1.09386	8.49409	0.0986717	0.059767	5.26716	4.4747	0.0251613	6.92053	0	2.9471	0	0.026531	1.06466	0	0	9.69245	0	0.416705	70.7809	10.5929	0.269626	0	14.6478	18.6346	0.0286265	0.169283	22.9731	4.00444	0.784927	0	1.33025	3.82344	0	0	17.5187	0.035513	7.7104	1.40335	0	0	3.02675	0	0.0503297	14.6753	0	0.117219	0.113831	0	12.429	0.0289562	3.22608	0	0	0	0	0	0	0	0	0	0	0	0.129107	0	0	0	0	0	0	0	0.0374217	0	0	0	0	0	0	5.33285	0	0.271526	0	0	0	0	0	7.54778	0	24.095	0	0	0	0.0805878	0	17.0978	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466371	0	0	0	0	0	32.944	0	0	0	0	0	0	30.8665	0	0	0.0436116	0	0	0	0	0	0	0	0	21.6836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0923827	0	0	0	0	0	0	0.0944987	0	0	0	0	0	0	0	0	0	3.65896	0.0680899	104.156	0	0	0.217884	0	0	1.56313	0	0	0	0	7.27545	0	7.91107	0.0531425	0	0.115799	0	0.209631	0	11.1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.744114	0	0	0	0	0	0.182368	0	0.417988	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0931285	0	0.0548904	0	0	0	0	0	0	0.505898	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR54	3.14399	1.39663	121.457	43.1346	0	0.800707	9.92844	0	3.13958	0.357716	0	19.3792	52.8532	74.9126	12.429	20.0993	5.80079	0	23.9877	11.111	0	114.481	12.415	25.7963	0	40.0652	5.489	38.1075	0	40.436	15.8287	0	0	110.405	0	5.19972	251.112	0	32.5117	0	1.62711	42.2996	84.116	0.827238	143.328	126.642	31.6462	0	0.255713	8.86741	104.221	81.4767	16.6508	79.0805	45.7432	26.5513	0	47.8629	38.1018	154.273	0	45.4272	266.84	10.215	0	25.898	80.6536	0	2.34135	60.9258	2.54967	14.5192	0.402055	0.514569	0	0	0	0	65.2324	0	198.014	0	0	0	0	0	0	0	0	0	0	1.36668	0	0	4.74158	0	0	65.7649	0	0	0	0	0	0	0	0	3.16393	0	0	0	0	0	0	5.2135	0	0	5.48382	0	0	3.34451	0	0	1.10686	0	0	124.166	3.48585	0	0	0	3.53483	0	0	5.16694	0	0	0	1.50437	0	0	0	0	0	0	0	0	0	20.1936	0	30.4251	20.2352	0	0	0	0	0	1.06474	0	0	1.81996	0	61.0544	0	0	0	0	106.769	0	0	0	0	0	0	0	120.012	58.33	0	0	88.3975	0	0	0	0	7.12705	0	23.7926	109.064	0	0	0	0	1.20944	0	4.06273	0	0	1.5149	0.526944	0	0	67.0034	0	0	0	0	50.0114	7.75862	145.481	75.7921	0	0	0	0	0.990412	0	0	12.429	0	0	0	0	15.661	0	17.8553	0	0	76.3343	0	0	0.379268	0	0	0	59.955	0	0	1.37431	105.429	0	68.9963	3.2078	45.8738	52.1517	3.55866	0	0	0	0	0	0	0	8.44523	22.1283	0	0	0	0	0.426111	1.01863	0	0	85.3807	0	52.7522	92.189	25.1251	0.954891	40.9813	18.5927	0	52.7325
NCAPD2	3.17807	2.71632	1.87148	0.766509	3.04019	0.0896232	7.46244	0.295271	81.1961	2.26601	0.0749935	0.772977	15.9292	0.517313	18.5163	22.4195	0	0	69.9349	9.51957	0.391443	2.72235	13.4873	5.04149	20.2928	6.0401	78.604	0.0683898	0	26.249	13.0231	0	21.1745	17.9484	7.40189	0	0	9.30402	107.813	18.57	24.2904	0	39.1706	0.681268	27.2662	0.578005	2.35651	2.92524	10.0976	10.7002	35.1408	0.0851696	20.039	4.90738	0.438972	0	0.0643497	1.71442	64.216	0.263596	1.14952	0	0	0	18.6736	0	0	0.0399821	84.2996	0.124675	0.415863	2.08024	45.0393	0	0	0	0	75.3745	0	0	0.0890972	0	0.673515	0	0	32.1757	0	0	0.981294	9.48478	0	0	0	0	1.66244	14.5643	0	10.2661	23.4117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23346	61.7907	1.28028	3.22353	44.9681	0	0	0	0	0.161692	1.07449	0	27.8697	0	0	0	0	0	0.105176	0	0	0	12.5661	36.988	0	0.225984	0	0	1.68632	0.780072	0	0	0	0	0	0	60.6522	0	0	0	0	0	0	46.646	0	0	0	0	0	0	4.09811	0	0	0	0	0	0	0	18.2905	0	0	0	0.146868	0.19262	0	0	0	0.366453	0	0	6.05781	0	2.7282	0	7.36831	0	0	0	0	0	0	2.05306	72.9338	0.0673207	7.38996	0.106122	0	0	0	0	0	0	0	23.5493	0.0952266	0	3.06271	2.59964	0	0	0.856146	0	0.0471793	0	0	0	0.254333	0.953763	0.193008	0	0	20.3134	1.43684	0	0	0.652853	0	0.0848811	7.72147	0	4.21828	0	19.0328	0	17.3577	0	0.0660719	0	12.7461	0	0	4.70779	0	1.36854	0	11.6529	3.10162	0	1.33162	0	6.95835	0	0	24.7411	0.105128	0	22.2402	4.16286	0	0	0	0	15.0115	18.2894	61.903	0	0	0
ANLN	5.51907	61.5427	78.4978	0.0484363	53.133	0.260971	78.6489	0.268873	0	40.8812	0	0.788872	7.52683	23.304	23.1586	0	0	0	0.217575	56.8258	1.00949	0	24.8201	0.190313	1.42376	20.2337	0.246259	19.6319	12.5801	32.0298	0.428098	0	95.5711	10.1812	23.0156	0	0	26.2884	145.275	101.506	3.65271	0	84.5463	2.75542	32.0578	17.8109	36.2968	119.29	0.481055	4.79959	1.49211	0.0942318	3.08088	42.1438	12.6909	0.255215	5.58131	29.0521	6.74067	18.9101	1.02383	5.83126	1.08956	0.230858	31.8832	1.88681	0.182082	0.231447	0.0365975	0	0	0	121.956	0	0	0.160993	0	0	0	0.386834	0	0	1.49101	0	2.50635	67.6004	32.8432	0	12.0122	0	0	0.0989395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21398	0	3.44139	0	0.885598	0	0	0	21.1795	0	0	0	0	0	0	0	0	0	0	101.361	0	0	0	0	0.0723053	0	0	0	0.26828	0	0	6.54395	114.768	0	0.509857	0.167568	19.5326	0	0	0	0	1.9021	0	0	0	0	4.14526	0.133399	0	0	0	0	0	0	28.4602	0	0	0	0	0.0770762	0	0.157055	0	0	0	0	8.4436	0	0	0	0.132605	0	1.61346	0.172623	78.6713	0	0	0.397122	315.081	0	0	0	0	0	4.51895	0	47.9263	0	0.63595	0	9.88313	21.8589	0	252.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63856	20.4729	0	1.22625	0	0	0	0	0	41.1068	0	14.1267	3.51205	0	0	0	0	0	0	0	0.631204	0	0	0	35.3397	28.5845	0	10.9938	0	0	0	0	0.0780018	40.784	116.66	158.873	0	0.222939	0
BRCA1	2.90642	0.29388	16.9961	2.30681	11.919	0	0	0	0.0368847	11.0046	0.373749	0	49.8544	83.3116	16.5826	0	0	0	2.53915	0.298082	0.203174	0	40.1261	3.92633	0.0433057	5.66054	0.871362	4.60561	0	8.56893	0	0	37.6165	5.32758	0	0	7.92596	4.1774	66.1105	1.93141	1.56153	0	16.572	1.16546	1.77386	0.858028	6.40904	13.1636	2.22295	2.65748	2.69739	0	0	19.5476	24.6363	0	0.0612136	7.94474	0.56129	7.76877	0.260016	0	0	32.5133	0	0	21.0341	0.0997342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76963	0	0	0	0	2.10254e-07	0	0	0	0	0	1.87797e-08	0	3.32186	0	0	0	0	0	0	0	0	7.70077	0	0	0	0	0	0	1.98101	0	1.45983	0	0	0	0	0	3.89007	0	0	0	0	0	0	0	0	0	3.34695e-07	0	0	0	20.9772	0	0	1.37934	0	0	0	0	0	0.115349	0	0	0	7.89295	0	0	0	0	0	0	0	0	0	0	0.344048	0	0	0	0	0	0.129293	0	0	1.94007e-23	0	0	0	0	1.20469	0	0	0	0	0	0	0	0	0	1.80739	0	0	0	0	0	0	0.337306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18385	75.5889	0	0	0	0	0	0	0	5.74989e-09	1.69019	0	0	0	0	0	0	0	0	0	0	0	0	0	0.795476	0	0	0	0	0	0	0	17.2733	0	0.098505	0.27015	2.78214	0	1.18501	0	0	0.570527	0	0	0	2.26736	0	3.55301	10.666	0	0	26.4244	0	0	0	5.69503e-08	19.1877	2.11465	0.723129	0	0	0
TACC3	2.22333	87.4441	16.459	7.04542	14.2452	0	9.69297	0	0.465246	5.11088	0	0	0	5.8988	5.29021	0	0	0	0	18.3351	0	0	11.0425	0	0	0.369636	0	0.398906	6.13092	0	0	0	4.61439	0.0894561	1.37807	0	0	0	0	10.5652	1.17976	0	0.0849078	0	5.69535	43.2776	0.197008	2.3071	0	8.05323	0	0	0	0.102962	0	0	0	19.4443	2.5815	0	1.1277	0	0	0	0.0934502	0	0	0	0	0	0	0	4.28964	0	0	0	0	0	0	0	0	0	0	0	0	52.1421	0	0	0	0	0	0	0	0	0	0	0	4.54546	0	0	0	0	0	0	0	0	0	0	0	0	0.162259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04103	0	0	0	0	0	0	0	0	0	0	1.18716	0	0	0	0	1.90682	0	0	0.568707	0	0	0	0	48.9401	0	0	0	0	0	0	0	0	0	0.154506	0	0	0	0	0	0	0	0	0	0	0	11.2146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.6513	0	0	0	0.967262	0	0	0	0	0	0	0	0.120362	0	0	0	0	0.0774211	0	0	0	0	0	0	0	0	0	0	0	0	0	17.5944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.32581	0	0	0	0	0	9.69887	3.40335	27.299	0	0	0
WWTR1	2.53347	7.98845	9.05609	20.0881	101.073	164.88	3.58162	82.3757	2.18496	4.55955	53.6576	5.14308	8.04087	18.7824	5.47065	11.1029	2.64586	9.03138	11.4158	8.99663	8.00971	17.6833	9.48403	13.2267	24.1444	14.4441	38.3263	7.57395	30.5143	9.37808	13.8131	26.7563	1.26612	5.64066	1.40931	6.35241	18.2819	17.5371	0.572766	7.91853	3.65689	0.119675	0.970278	32.3287	6.64592	8.87106	12.5292	9.78371	1.31519	6.71185	12.6901	38.2504	31.8023	18.9871	7.18342	2.34108	2.09788	11.9806	8.14523	8.0322	11.8239	0.638055	86.1871	6.55478	4.20531	15.8128	40.2052	2.92848	4.09819	178.493	29.244	1.76588	7.32104	0.627199	184.27	19.9266	16.0827	3.52401	38.3916	28.5099	10.6703	27.258	110.519	1.53737	95.6727	20.6971	30.5099	19.8743	11.594	95.1205	88.2789	16.2144	5.2234	101.658	7.93602	82.3804	31.1559	19.8561	19.5877	1.23377	23.3845	84.6955	7.05502	35.8835	1.37285	2.97078	2.40447	14.0294	29.7828	3.65563	59.5729	5.23582	26.505	113.281	14.3741	34.5882	7.36668	10.5084	9.08269	36.8294	2.90672	0.75015	3.27632	18.8291	7.2594	8.24535	4.63869	85.8707	151.897	8.14464	50.5032	42.5619	2.67432	12.8354	90.486	16.8378	2.14414	53.1481	5.28747	15.9599	16.5982	22.8978	9.9455	35.1663	2.69536	172.558	32.1327	29.284	204.643	18.9936	102.76	45.7303	15.4393	3.58192	1.63809	7.38786	63.5333	166.914	71.9415	49.31	38.7952	25.8722	203.98	0.349466	25.7414	128.717	0.979487	261.494	34.9392	45.393	34.672	31.896	57.3296	86.4943	28.3764	2.62098	84.304	19.2901	34.9259	74.7909	6.98805	13.0018	15.2498	2.98692	89.7682	73.1523	74.1466	18.9608	34.0503	1.10706	37.6095	155.684	25.5025	25.2324	76.174	9.77165	8.9903	4.08567	46.1649	46.2718	105.978	2.83784	1.21715	145.491	38.2123	12.7203	7.4557	49.4137	30.4541	6.39189	35.7091	1.16922	7.39682	11.0723	60.9099	207.841	79.8581	0.247635	41.62	26.4581	14.3515	230.679	22.4081	42.6267	35.4188	27.8706	33.4917	9.8804	95.3361	9.42784	65.19	68.938	175.426	13.9261	85.769	2.42779	12.0292	24.0913	39.791	34.3423	76.3644	32.4834	36.5434	89.2508	5.60304	34.0455	104.349	71.9388	24.5112	25.8385	34.6166	76.1646	27.2946	4.42088	24.5001	45.1196	56.0697	317.558	62.4445	156.231	17.9579	11.6934	39.3096	31.6807	34.1231	17.0311	69.407	35.3445	24.7295	68.9267	81.4347
MRE11A	4.22463	4.60183	10.9743	20.6257	72.7712	2.41637	0.158575	0	9.52299	1.49541	0	7.05923	58.1087	16.6689	18.4927	3.0756	0	0.347488	45.4943	31.3479	5.18417	0	79.2205	1.39383	0.243182	32.3899	0	6.05309	2.45757	26.5974	2.13801	0	44.8718	15.3382	4.95956	1.14872	0	20.6359	0.670326	52.4408	13.0267	0.818185	16.3952	0.261294	16.5404	53.09	16.3533	57.6856	0	5.3214	16.4342	8.12662	0	40.7927	29.6753	2.25174	48.3053	6.21168	49.8849	1.88736	17.7248	0.960616	0	7.42617	13.124	23.2128	0	0.209181	0	9.30403	0	1.44266	0	0	0	0	0	23.2846	32.1633	0	0	0	0	0	0	0.453141	0	5.14781	0	10.9951	0	0	0.521176	0	0	30.3966	0.115383	1.05294	52.174	0	0.781683	0	66.8863	0	0	0.350959	0	0	0	0.758948	0	0	0	0	0	0.429807	0	0	0	0	0	0	0	0	0	31.8129	20.4784	0	0	0	2.91703	20.3405	0	3.65503	0	0	11.6594	0	9.65507	0	0	0	0	4.72007	0	59.9158	0	0	0	4.66474	9.77472	42.202	4.9139	0.798865	0	0.687676	0	0	0.477958	11.9555	5.36721	0.254663	1.44681	0	1.72942	14.9946	0	0	0	51.3275	0	93.3948	0	0	0	0	1.69558	34.2784	0	4.01984	0	0	0	0	0	17.7996	0	0	0	0	0	16.2265	0.405315	0	0	20.2471	0.784855	0	0	0.119547	0	0	0	0	0	1.87357	0	56.2127	63.5184	0	51.6453	4.43944	0	0.316077	0	0	0	0	246.045	27.0092	0	0	0	0	19.4781	0	0	0	0	1.12245	0	0	4.16878	0	0	0	0	0	13.0184	0	0	9.80862	15.2091	0	3.94148	15.0255	15.24	11.058	0	0	0	0	0	30.7552	30.2313	0	0	0	25.6111	0.968269	50.0756	0	0	4.06307	0	9.15577	20.0022	38.7181	0	1.35044	74.1861
