,Time,Cell,Actb,Bmi1,Bmp4,Bmp7,Bmpr1a,Cd34,Cdh1,Cdh2,Cdk2,Cdx2,Cldn6,Ctcf,Ctnnb1,Dnmt1,Dnmt3b,Dppa3,Dppa4,Eomes,Esrrb,Ezh2,Fbxo15,Fgf4,Fgf5,Fgfr2,Foxa2,Gapdh,Gata1,Gata4,Gata6,Gdf3,GFAP,Gli2,Grb2,Gsc,Gsk3b,Hand1,Hdac1,Hes1,Igf2,Isl1,Jag1,Jarid2,Kdm1a,Kdm4c,Klf4,Lif,Lifr,Lin28a,Mbd3,MBP,Mef2a,Mixl1,Mki67ip,Myc,Myst3,Nanog,Ncam1,Nestin,Notch1,Nr0b1,Nr5a2,Nr6a1,Olig1,Olig2,Otx2,Pax6,Pou5f1,Prmt6,Prmt7,Ptpn11,Rai1,Rcc1,Rest,Sall4,Setdb1,Smad1,Smarca4,Smarcc1,Socs3,Sox1,Sox2,Stat3,T,Tbx3,Tcf7l1,Tcl1,Tgm2,Trp53,Tubb3,Utf1,Vim,Wdr5,Wnt3a,Wnt5a,Zfp281,Zfp42,State
E14tg2a.0h.2B,0,E14,16.72083152,10.55239915,11.13714122,0.0,10.6813677,0.0,0.0,8.13178415,13.101242999999998,0.0,0.0,12.84746524,14.92647238,13.85390825,14.27646101,0.0,9.0117215,11.74678192,13.18214073,11.8454523,13.33265006,14.01660795,0.0,10.13014911,0.0,19.595380727000002,8.44882803,0.0,0.0,14.43408497,0.0,0.0,11.6585836,0.0,9.62996431,0.0,14.90412102,6.79549927,0.0,0.0,11.39953503,12.79254901,15.06611802,9.43263242,11.24247544,7.59946654,10.14778958,11.14117538,13.07731926,0.0,9.59020553,0.0,10.762755,13.40429504,11.48398853,12.27269316,0.0,7.49428004,9.31542144,12.13363644,10.35037953,8.40590359,0.0,0.0,0.0,0.0,13.25010522,0.0,11.71722056,11.80398579,0.0,0.0,15.29380721,13.09344532,11.15714055,9.95532998,0.0,14.069456900000002,9.93291561,0.0,10.50816247,12.75310974,0.0,12.25469996,12.2894608,10.12394958,10.19941701,13.99096833,12.94721719,8.24667451,15.86863255,12.38004773,0.0,9.47999083,12.91868366,14.37818919,0
E14tg2a.0h.2C,0,E14,16.9504402,7.81951173,12.81342726,8.64499927,9.97189373,0.0,5.18227976,8.36797922,13.77548197,0.0,0.0,13.69982011,14.73853961,14.18267546,14.76195183,0.0,10.89605983,9.584705300000001,12.65371531,11.662305499999999,13.48350175,14.44421824,0.0,0.0,0.0,19.23677746,0.0,0.0,0.0,13.96457783,0.0,7.56910511,11.60595595,8.20217614,8.95578875,0.0,15.17073939,0.0,0.0,0.0,0.0,13.47497991,14.94049349,10.99094115,12.23326395,0.0,11.43857289,12.934418699999998,14.34089194,0.0,0.0,0.0,12.03498943,12.40621384,12.41367577,13.09487178,0.0,0.0,9.29946518,11.38352052,8.49255244,0.0,0.0,0.0,0.0,0.0,12.84467494,0.0,11.72662114,13.29814923,0.0,12.81597451,15.39644819,14.64481881,10.15436094,11.07140289,0.0,13.457135300000001,12.5378398,0.0,9.98157033,14.30461728,0.0,12.52388664,13.51726142,0.0,9.86837029,11.88232708,12.28532986,0.0,15.984963800000001,14.01247536,0.0,0.0,14.0986206,16.30972688,0
E14tg2a.0h.2E,0,E14,16.58553732,0.0,12.46719404,0.0,10.71655853,0.0,0.0,0.0,13.72203504,0.0,0.0,13.57131516,15.29687845,14.58874906,14.85301514,0.0,11.19710044,0.0,12.31902432,10.47392549,14.10895955,13.875822400000002,0.0,0.0,0.0,19.401786494,0.0,0.0,0.0,14.04860594,0.0,9.79243883,11.92001756,0.0,8.83715717,0.0,15.3337848,5.9159319,0.0,0.0,10.31803755,14.07149237,15.07320522,12.03184125,13.21812464,0.0,11.90497864,12.33570136,12.84260746,0.0,0.0,0.0,11.76788693,12.49844234,11.51619232,13.16492002,0.0,0.0,0.0,13.94348415,11.45446374,8.06914937,0.0,0.0,0.0,0.0,13.23387797,0.0,11.83879348,12.06669322,0.0,12.52100485,15.45758621,14.56224042,11.05047374,10.34346496,0.0,13.69756157,10.95515115,0.0,10.55496056,13.20309329,0.0,12.16511898,13.64097823,9.8944596,0.0,13.61712251,13.32525399,9.93064958,15.6978876,13.5307406,0.0,0.0,14.34296941,15.67489191,0
E14tg2a.0h.2F,0,E14,17.31363421,10.09453972,12.77026924,0.0,10.81227783,0.0,0.0,0.0,12.99203833,0.0,0.0,14.48486559,15.76123256,15.06438077,15.1646261,0.0,10.91297045,9.30011629,13.293201500000002,10.04703695,14.580449599999998,14.21171219,0.0,0.0,0.0,19.497160258,0.0,0.0,0.0,14.52727072,0.0,10.20028365,12.49813463,0.0,6.79148291,0.0,15.61580156,9.55112323,0.0,0.0,0.0,14.81012457,15.9568845,11.96092615,13.11978265,0.0,11.90483172,12.03482749,14.67535968,0.0,11.05167566,0.0,11.27485507,12.71103539,11.95341053,12.74798889,0.0,7.598715400000001,8.2185692,13.92478828,12.49116998,8.25092901,0.0,0.0,8.27704885,0.0,13.88105213,0.0,10.64780217,12.06389955,0.0,12.13114768,14.87367452,14.97175407,9.82453708,10.62108371,0.0,13.59197947,11.38015821,0.0,11.30472751,13.65526315,0.0,13.39421601,13.94128861,10.556515199999998,0.0,13.63996154,13.693002599999998,13.27766869,16.62782779,13.81029487,0.0,0.0,14.54597292,16.71237567,0
E14tg2a.0h.2G,0,E14,17.735432,6.99329532,13.49068584,0.0,11.5587092,8.77687693,0.0,8.09646866,13.74528078,0.0,9.52539151,14.13398959,16.13445444,15.25970564,15.85709587,0.0,11.96097093,10.80013955,14.35395725,12.06220534,14.83560063,14.42507426,0.0,0.0,0.0,20.420672086,0.0,0.0,0.0,14.83072256,0.0,9.98007465,12.99685239,8.39533794,9.09124257,0.0,16.79815318,8.91562651,0.0,5.69311012,12.24453098,14.73126285,15.17243865,12.51654888,12.72136442,0.0,12.61200027,14.07823992,15.05846231,0.0,7.47433239,0.0,11.03994314,14.22831642,13.42821035,13.56409616,0.0,0.0,9.10150985,13.52577551,12.576621800000002,8.29248174,0.0,0.0,8.80576735,0.0,14.63028363,7.38497023,11.33697184,13.39591438,9.65889192,12.53045532,16.16405971,15.82466475,11.70142024,10.92328539,0.0,14.49818138,11.54316822,0.0,11.59145707,13.87746784,0.0,12.60171466,14.94475479,9.37416404,0.0,14.130700899999999,14.532810699999999,13.28699515,16.9769434,13.27438325,0.0,9.89060491,15.337587699999998,17.07325297,0
E14tg2a.0h.2H,0,E14,17.35326461,9.90850057,12.63661056,0.0,11.78046959,0.0,7.19491677,8.11319076,13.572694699999998,0.0,0.0,14.26895229,16.16409316,14.50104297,16.08273987,0.0,10.97939903,0.0,12.99118752,10.88471635,14.24280418,14.17272925,0.0,0.0,0.0,19.448019677,7.41887576,0.0,0.0,15.28021683,0.0,10.50108631,13.18927112,0.0,0.0,0.0,15.87420169,7.90613955,8.81455733,0.0,11.43636022,13.51234397,15.83760875,11.98936766,13.98735526,8.14735373,11.7406236,13.14654918,14.70842729,0.0,4.17964745,0.0,10.81609693,12.61000787,13.06559244,13.55727608,0.0,7.3143258,7.3588418,10.07669967,12.18193812,8.3719651,0.0,0.0,9.58900923,9.83493315,14.00819822,0.0,12.31876327,12.86078084,0.0,12.4202761,15.13802281,14.73282047,11.62656302,10.86262298,0.0,13.78786674,12.30867895,0.0,11.57231531,13.23368162,0.0,13.37896523,15.17379616,8.62750206,10.07275369,14.51178083,14.42816405,13.53098785,17.41830184,14.25055815,0.0,0.0,14.38438059,17.15610558,0
E14tg2a.0h.3A,0,E14,17.42443958,9.04677112,13.46246609,0.0,9.63758801,0.0,1.0246437,0.0,13.36423606,0.0,9.47936845,13.56741898,15.56035804,15.86384111,14.91929751,0.0,9.55659607,0.0,12.46141556,9.0353408,12.78194407,13.4395128,0.0,0.0,8.49876612,19.361527093,0.0,0.0,0.0,14.97896773,0.0,0.0,10.58124568,0.0,0.0,0.0,15.19121728,0.0,0.0,0.0,0.0,14.77436176,14.74777728,13.06567075,14.20246015,9.82007256,12.12388346,11.171880900000001,13.26003297,0.0,10.11927331,0.0,10.94308456,3.46827992,11.9271386,13.84152244,0.0,0.0,8.29153282,12.92854719,0.87733059,0.0,0.0,0.0,0.0,0.0,10.64201165,0.0,10.483971499999999,12.27431169,8.7993298,10.61925374,14.24446702,14.41039346,9.61935829,0.0,0.0,12.85209999,11.23920231,0.0,3.46462315,13.44998035,0.0,12.97972371,12.06804881,0.0,0.0,7.98409529,12.75969521,0.0,16.25769279,12.97175505,0.0,0.0,15.32920499,16.86071665,0
E14tg2a.0h.3B,0,E14,16.79354963,9.50562781,10.61000979,0.0,10.51679684,0.0,0.0,0.0,14.37395818,0.0,0.0,14.16751363,15.72825218,15.86129946,14.96066538,10.24244331,10.96670793,9.86400913,13.52659859,8.60325266,15.16100247,15.30172331,0.0,0.0,0.0,19.829620277,0.0,0.0,0.0,15.37677164,0.0,8.2502569,13.25503137,0.0,7.77006277,0.0,15.61900104,0.0,0.0,0.0,11.37803011,13.35535354,15.45137169,12.51171971,12.67637449,0.0,11.94151759,10.22884389,13.81149924,0.0,10.73573861,0.0,11.81470282,13.0624284,13.43492204,14.29290068,0.0,7.43325238,8.29853019,13.32331689,10.06220464,4.98886171,0.0,0.0,11.42679073,10.28075227,13.12042551,0.0,10.74476911,11.54387119,0.0,10.23626473,16.07191902,14.91839583,10.95853679,9.73330011,0.0,13.83681847,0.0,0.0,8.79081266,12.26918408,0.0,12.84261273,15.03190834,0.0,10.1073,12.55090224,14.06853002,1.5731624,16.7860874,14.06766711,0.0,0.0,13.73157611,16.6834487,0
E14tg2a.0h.3C,0,E14,17.881071223,3.14203363,13.638341699999998,0.0,11.46024246,0.0,0.0,0.0,14.18972616,0.0,0.0,13.20400878,15.90907788,15.33533933,15.59381076,0.0,11.81851108,0.0,13.35861434,11.73213735,14.35803355,13.190192300000001,0.0,0.0,0.0,19.970053715,0.0,0.0,0.0,14.07937211,0.0,0.0,9.7193138,0.0,9.07795178,0.0,15.19821044,0.0,0.0,0.0,10.59447616,13.93869871,15.0393103,11.64357353,12.538744099999999,0.0,12.75877287,12.51734796,14.18146911,0.0,0.0,0.0,9.59308891,12.9466511,11.77039885,10.89186504,0.0,0.0,6.62981997,11.11056356,9.83742012,0.0,0.0,0.0,8.42225735,0.0,13.33767538,8.923121499999999,8.95687761,13.10470715,0.0,12.38287055,14.91004881,14.53152663,9.89522363,9.96928357,0.0,13.71679019,12.94751512,0.0,11.24877602,13.33605955,0.0,12.84344324,13.21730174,0.0,0.0,12.71053623,13.82513002,3.7399636,16.06961696,13.56282247,0.0,0.0,13.991376500000001,15.36012522,0
E14tg2a.0h.3E,0,E14,16.81684918,11.46185056,0.0,0.0,11.744572400000001,9.02423679,0.0,0.0,13.24850232,0.0,9.58266216,13.8375522,15.60321721,15.0156867,14.28688808,14.17001197,10.77062799,0.0,13.49187974,11.0789537,17.991454602,14.16592891,0.0,10.15860679,0.0,18.47317396,0.0,0.0,0.0,13.30366157,0.0,0.0,11.12451236,7.85891525,10.09525376,0.0,13.88159995,0.0,0.0,0.0,10.1916926,13.15574056,16.23965259,12.35187987,14.98420252,9.14510717,9.78759182,11.51971673,13.85056521,0.0,5.59548478,0.0,10.77203332,13.06675116,11.53136944,14.89099654,0.0,8.93450802,9.79618938,0.0,12.34302321,9.2425772,0.0,0.0,10.94764148,0.0,13.08545641,0.0,10.61029235,12.82096508,0.0,10.60647136,14.84328736,14.6161175,11.08601796,11.25470383,0.0,13.63391573,9.03185069,0.0,11.80208759,12.68619892,0.0,9.54647758,13.98172578,9.76312694,0.0,14.09680368,15.00602929,8.82029262,15.71137318,14.02387456,0.0,0.0,14.00337329,17.27476535,0
